,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,label
34246,0.92,['Frank Sinatra'],0.298,49173,0.0785,0,16DHL2lmakRwFafm5Lp7ag,0.0,9,0.0678,-17.404,1,I'm Getting Sentimental Over You (Reprise),10,1961-10,0.0328,80.236,0.145,1961,0
70381,0.107,['Cardi B'],0.9470000000000001,229005,0.7879999999999999,1,1vBeIXlzbAieGoDqInav5j,0.000691,10,0.10800000000000001,-6.138,0,Money Bag,60,2018-04-06,0.124,129.977,0.45399999999999996,2018,0
49479,0.747,['Sonny Stitt'],0.5,235987,0.374,0,1dxcKJDTSSmHvNufB8S0DR,0.00419,0,0.0986,-11.887,0,Cool Blues,5,1958-01-01,0.0445,161.428,0.539,1958,0
70273,0.0788,"['Maroon 5', 'SZA']",0.799,199849,0.597,0,6YVpU5vVxezJCYeQUxIkRT,5.66e-06,5,0.1,-5.131,0,What Lovers Do (feat. SZA),57,2017-08-30,0.0611,110.001,0.419,2017,0
38631,0.8170000000000001,['Arcade Fire'],0.47200000000000003,289733,0.41,0,6oMBDrzwGG1BzCoZyPyGuG,0.038,7,0.125,-12.948,1,Neighborhood #4 (7 Kettles),45,2004-06-16,0.0291,107.92299999999999,0.301,2004,0
47772,0.171,['BTS'],0.856,235780,0.617,0,5nq1uTNIR1cBR72T87viS0,0.0,10,0.0857,-5.308,0,Go Go,65,2017-09-18,0.0841,136.082,0.759,2017,0
109342,0.9790000000000001,"['Fritz Kreisler', 'Isaac Stern']",0.603,106573,0.157,0,0t3Zr8U65UiAst1957weol,0.4320000000000001,7,0.106,-21.326,1,Schön Rosmarin,2,1947,0.0649,121.412,0.741,1947,0
27996,0.00275,['David Gilmour'],0.21899999999999997,220693,0.433,0,0mq6hJKswj2jXHnIPW0CDC,0.00023199999999999997,11,0.08900000000000001,-11.21,0,I Can't Breathe Anymore,26,1978-05-25,0.0288,91.625,0.187,1978,0
117590,0.988,['Ratnaprabha'],0.418,202896,0.142,0,6pSgQM1k5wPCWsfZE86JPg,0.0007099999999999999,1,0.245,-10.350999999999999,1,Prabhu Laaj Bhakton Ki Rakhe Sada,0,1934-12-31,0.145,64.624,0.56,1934,0
42573,0.618,['Al Martino'],0.273,185627,0.31,0,5VXpLSWsDVI0a0so4MU2O9,0.22699999999999998,10,0.23800000000000002,-12.31,1,Crying In The Chapel,23,1965-09-04,0.0318,67.633,0.382,1965,0
113473,0.00349,['Bad Religion'],0.391,67005,0.986,1,6kE91QjOimRTG5BW1BBj4D,0.0,7,0.276,-3.306,1,Do What You Want,47,1988,0.0814,154.262,0.8740000000000001,1988,0
53962,0.423,['Klaus Badelt'],0.21899999999999997,212733,0.361,0,3ai0FOnzj6FK2vuwc31A3W,0.943,2,0.121,-12.578,1,Blood Ritual,41,2003-07-22,0.031,181.06400000000002,0.0391,2003,0
53842,0.433,['The Cyrkle'],0.611,139493,0.518,0,213YUBpRZdZGCrtb2dcbzi,0.0,9,0.0918,-9.982000000000001,1,Red Rubber Ball,42,2002,0.0278,92.15,0.792,2002,0
103406,0.9620000000000001,"['Andrew Lloyd Webber', '""Cats"" 1981 Original London Cast', 'Elaine Paige']",0.261,83520,0.008029999999999999,0,5tlzPWUvrHRkc1SSvpiviT,0.0962,10,0.0873,-28.634,1,End Of Act 1: Memory,49,1981-01-01,0.0375,74.153,0.122,1981,0
72217,0.732,"['Johnny Burnette', 'The Johnny Mann Singers']",0.664,155867,0.384,0,40jvoevvxSFsdDE8to6VO7,0.0,8,0.0946,-11.375,0,Moody River,13,1962-06-07,0.0322,68.046,0.7859999999999999,1962,0
37942,0.34700000000000003,['Dire Straits'],0.512,216067,0.9209999999999999,0,6tM6gqc1liYA4403w1nyCc,0.0,9,0.297,-6.862,1,Twisting by the Pool,34,1998-11-10,0.0436,182.058,0.96,1998,0
31128,0.0302,['Brantley Gilbert'],0.628,239387,0.426,0,2daFYFGhfrJizdJg6WVHve,0.0,2,0.0749,-13.918,1,My Kinda Party,42,2009-01-01,0.051,88.905,0.45299999999999996,2009,0
36511,0.12300000000000001,['Marcus Miller'],0.807,365000,0.256,0,7l0yqQIdnmQny7vOcUKzBT,0.0,7,0.11199999999999999,-15.186,1,Much Too Much,29,1983,0.0589,93.18,0.623,1983,0
30376,0.445,"['Laura Bell Bundy', 'Matthew Morrison', 'Linda Hart']",0.645,349400,0.96,0,4WETOI0rRKTLF1NqJ8E5Xf,0.0,2,0.221,-5.428,1,You Can't Stop the Beat - Medley,43,2002-08-13,0.304,170.00400000000005,0.266,2002,0
102752,0.0928,['Average White Band'],0.581,300837,0.588,0,0wNUTleNAhiAFPghCxLt27,0.0141,2,0.0852,-7.4689999999999985,1,School Boy Crush,43,1975-06-24,0.0555,171.645,0.815,1975,0
13028,0.835,['Paige Morehead'],0.687,124147,0.0937,0,0GUX5xnxpyNxY3PC5vLM9L,0.0,5,0.0964,-21.326,1,Fast Asleep,32,1988-01-01,0.0463,135.07399999999998,0.4920000000000001,1988,0
144904,0.963,['Αντώνης Νταλγκάς'],0.632,178387,0.33,0,5mejWgJhntZOZCqnNEv3v6,2.09e-05,3,0.0982,-10.251,0,Οι δυο σερέτες,0,1936-01-01,0.0448,148.78799999999995,0.5710000000000001,1936,0
88822,0.991,['Francisco Canaro'],0.8029999999999999,180987,0.20800000000000002,0,0ERznVfJDUcXGi50dFG0mv,0.493,4,0.685,-8.379,1,Justo el 31 - Remasterizado,0,1930-12-05,0.11699999999999999,113.06200000000001,0.63,1930,0
625,0.9540000000000001,"['Felix Mendelssohn', 'Bruno Walter', 'New York Philharmonic']",0.504,275440,0.36,0,2thpB5Uz5y3dvf4RJBRzOZ,0.77,7,0.184,-17.752,0,"A Midsummer Night's Dream. Incidental Music, Op. 61: Scherzo - Remastered",0,1945,0.0321,129.487,0.5539999999999999,1945,0
56694,0.963,['Archibald MacLeish'],0.682,45627,0.0424,0,08lYYLwBb0NkSCKa6rQ2Jd,0.00022799999999999999,11,0.28300000000000003,-20.005,1,The Two Priests,1,1955,0.348,121.19,0.205,1955,0
75680,7.13e-06,['Propellerheads'],0.5589999999999999,244400,0.9309999999999999,0,6AyXbkn4cwrErFIMbRBRDs,0.8490000000000001,1,0.179,-8.627,1,Spybreak! - Short One,44,1997-01-01,0.0462,127.82700000000001,0.49,1997,0
38104,0.475,['Nine Inch Nails'],0.215,317173,0.265,0,7LBWAib31Cthfz2KoI611Z,0.591,2,0.303,-16.852,1,The Great Below,40,1999-01-01,0.0323,87.26,0.0401,1999,0
119431,0.862,['George Shearing Quintet'],0.677,157333,0.473,0,3AGGjEI2u6XQxTLiThHZv4,0.293,0,0.16699999999999998,-13.56,1,Undecided,5,1953-01-01,0.107,135.094,0.665,1953,0
57953,0.317,['The Righteous Brothers'],0.5670000000000001,164693,0.6809999999999999,0,2HNN7I6m64Tszxvf0vUlzb,0.0,1,0.524,-9.062000000000001,1,Love Keeps Callin' My Name,19,1967-05-13,0.0792,128.554,0.604,1967,0
117881,0.8140000000000001,['Billie Holiday'],0.5770000000000001,186373,0.252,0,6MNQukyVgzEuGooGDYpCEP,0.0,5,0.07400000000000001,-13.472999999999999,1,Now They Call It Swing - Take 1,2,1937,0.0682,149.374,0.8140000000000001,1937,0
39088,0.708,['Vetiver'],0.713,268360,0.47600000000000003,0,28qOurUpsL6teKyx9GaJVa,0.565,9,0.265,-8.756,1,Strictly Rule,43,2009-02-17,0.0291,113.037,0.575,2009,0
110534,0.935,['Eddie Heywood'],0.565,173573,0.251,0,7KCXv8ONKtYtwCIBKHcmHs,0.41200000000000003,2,0.126,-11.724,0,Canadian Sunset - Single Version,25,1958-05-23,0.0295,117.766,0.47700000000000004,1958,0
120072,0.868,['Chuck Berry'],0.6659999999999999,114040,0.527,0,43Nyh6ndafXIC9pdiQtmMn,0.0,0,0.306,-12.54,1,Anthony Boy,28,1959-07-01,0.0694,118.266,0.9620000000000001,1959,0
53858,0.23399999999999999,['Ayumi Hamasaki'],0.5760000000000001,332733,0.578,0,4uraEw7BcTjMmUcRKE3XaD,0.0,6,0.315,-5.506,0,Dearest,52,2002-01-01,0.0263,126.947,0.385,2002,0
100188,0.985,"['Erik Satie', 'Pierre Bernac', 'Francis Poulenc']",0.426,104160,0.20199999999999999,0,015swjrXc0Vv8KgX8g7N2s,0.00035800000000000003,5,0.135,-16.727999999999998,1,Trois Melodies: La Statue de bronze,11,1949,0.0467,136.011,0.429,1949,0
30210,0.00457,['Cradle Of Filth'],0.379,384813,0.996,0,0IVdlBreRkZn0ftoUwB0T6,9.26e-06,2,0.0981,-3.023,0,Her Ghost in the Fog,45,2000-06-01,0.285,128.049,0.0386,2000,0
71707,0.32799999999999996,['Herbie Mann'],0.7609999999999999,357827,0.408,0,6Yk5JjbNqjMaNHJz3z5hV2,0.00944,4,0.127,-12.177999999999999,0,Yardbird Suite,7,1957-01-01,0.0696,109.652,0.6579999999999999,1957,0
94318,0.00148,['James Brown'],0.754,282840,0.8540000000000001,0,4Y5yjzs9FFw5qIgfZBd43I,0.00692,0,0.0675,-7.114,1,"Living in America - From ""Rocky IV"" Soundtrack",54,1985,0.0363,113.90799999999999,0.7609999999999999,1985,0
114016,0.23600000000000002,['Clay Walker'],0.703,169773,0.604,0,39B9IpMNTUDOzW0JuVHlq4,0.0,3,0.163,-11.321,1,Live Until I Die,44,1993,0.0315,133.05200000000002,0.64,1993,0
91345,0.46299999999999997,['Frank Sinatra'],0.5539999999999999,139227,0.18,0,4q6vMqwAOt3qog2i97lNIC,0.0,5,0.0874,-15.892000000000001,0,You're Getting To Be A Habit With Me - Remastered 1998,35,1956-03,0.0543,107.238,0.53,1956,0
79375,0.758,"['Pablo de Sarasate', 'William Steinberg', 'Jascha Heifetz']",0.193,111560,0.0767,0,4aHQUcd0xRdIBOLQzQtO82,0.25,0,0.16699999999999998,-24.705,0,"Zigeunerweisen, Op. 20: Un poco più lento",6,1934,0.0424,103.03299999999999,0.0929,1934,0
149204,0.000839,['The Chameleons'],0.415,237787,0.9179999999999999,0,4Uv6BVQUcdxUkIRDAQ7a7l,7.53e-05,1,0.121,-6.335,1,Up the Down Escalator,39,1983,0.0373,134.94899999999998,0.512,1983,0
24840,0.99,['Dilshad Begum'],0.585,172352,0.35100000000000003,0,6b83O7pGiYRHy3smo9oqL8,0.0035399999999999997,10,0.24,-6.477,1,O Nargis Pyare,0,1947-12-31,0.0337,116.552,0.494,1947,0
47821,0.5760000000000001,['SEBASTIAN PAUL'],0.6509999999999999,266394,0.726,1,1cQCdozRmaErXowT6iDQML,0.0152,8,0.272,-7.5829999999999975,1,TROJAN HORSE,61,2018-07-20,0.312,89.305,0.657,2018,0
30283,0.16699999999999998,['India.Arie'],0.682,245800,0.298,0,2bGbsL0v9rTndISpJhRT7F,5.13e-06,7,0.575,-9.943,1,Beautiful,42,2001-01-01,0.0319,132.003,0.196,2001,0
103097,0.0736,['Van Morrison'],0.541,346987,0.863,0,6KrMDGTp9CtkMLKyftDUTD,0.00115,0,0.46299999999999997,-6.999,1,Wavelength - Remastered,46,1978-09,0.0703,142.829,0.522,1978,0
46693,0.0387,['Jason Aldean'],0.568,204267,0.636,0,5I6aGUlPQMacL3jsB7D52n,0.0,5,0.094,-6.664,1,Who's Kissing You Tonight,41,2007-05-29,0.027000000000000003,168.09599999999998,0.483,2007,0
6660,0.00144,['The Killers'],0.532,248467,0.9309999999999999,0,1Rr17slUHwVRkDz4A2TUcM,0.263,11,0.159,-3.662,0,Bling (Confession Of A King),52,2006-10-02,0.0467,113.42399999999999,0.38299999999999995,2006,0
49983,0.46,['Bill Evans Trio'],0.45,271667,0.298,0,1EARkQbT7PpAp3mnYbs0pl,0.649,0,0.828,-20.764,1,My Heart Stood Still - Live,17,1963,0.0434,127.09200000000001,0.517,1963,0
138693,0.381,['The Dixie Cups'],0.5870000000000001,156965,0.361,0,27M1TykdEo1TQc00E6gi0f,0.0,0,0.20600000000000002,-13.296,1,People Say,23,1964,0.0518,125.5,0.868,1964,0
111596,0.47,"['Desmond Dekker', 'The Aces']",0.7240000000000001,189440,0.324,0,7t8hZZ13ePJH22jc1vJkCO,0.0061600000000000005,9,0.11199999999999999,-12.455,0,Fu Man Chu,47,1969-01-01,0.0485,83.615,0.8640000000000001,1969,0
42806,0.654,['Brooklyn Bridge'],0.259,199320,0.441,0,4Qs6TOTizecDDtxpZj2Yms,4.320000000000001e-05,1,0.162,-12.454,1,Blessed Is the Rain,18,1968,0.0316,100.415,0.151,1968,0
86817,0.191,['Natasha Bedingfield'],0.721,202907,0.88,0,1uigwk5hNV84zRd5YQQRTk,0.0,9,0.0769,-3.8960000000000004,0,Pocketful of Sunshine,63,2008-01-22,0.0454,110.021,0.655,2008,0
41317,0.977,"['Carlo Pepoli', 'Vincenzo Bellini', 'Maria Callas', 'Giuseppe Di Stefano', 'Orchestra Del Teatro Alla Scala, Milano', 'Tullio Serafin', 'Orchestra Del Teatro Alla Scala Di Milan']",0.251,189480,0.157,0,1z6TxVeuG5Kn5zjsXSEUKU,0.0263,9,0.0711,-16.511,1,"I Puritani (1986 - Remaster), Act III: Ch'ei provò lontan da me?",0,1953,0.0559,73.124,0.158,1953,0
44775,0.69,['The Isley Brothers'],0.691,158760,0.688,0,55EVHSQa3hPgql3LSP32Ev,0.0,5,0.0759,-14.761,0,Take Me In Your Arms (Rock Me A Little While),28,1987-01-01,0.0836,91.789,0.741,1987,0
139960,0.794,['Al Di Meola'],0.42,312027,0.34600000000000003,0,7lflARLzeb71KjdYPU7CFt,0.836,4,0.259,-19.334,0,Mediterranean Sundance,43,1977,0.0312,90.802,0.5529999999999999,1977,0
146633,0.551,['B.B. King'],0.413,169453,0.9420000000000001,0,0aa4frPXLx96nl0DRwxrdX,0.0,7,0.4,-5.285,1,Boogie Woogie Woman,16,1957-01-01,0.125,159.91899999999995,0.501,1957,0
136937,0.99,['Tapati Dam'],0.499,181120,0.185,0,2cM71IWXE6vq5zniQpSaTH,0.0,4,0.124,-10.757,1,Durer Bandhu Surer,0,1947-12-01,0.0331,104.316,0.435,1947,0
64506,0.568,['Harold Courlander'],0.716,140453,0.157,0,2bNZXgTSxwAe2u0futqz8S,0.0,11,0.359,-20.323,1,The Porcupine's Hoe,6,1959-01-01,0.9470000000000001,82.04899999999998,0.612,1959,0
25447,0.9940000000000001,"['George Frideric Handel', 'Johanna Martzy', 'Jean Antonietti']",0.447,181826,0.11699999999999999,0,1VY1iKFWpgsguJFrSp0v1p,0.0253,9,0.141,-18.54,1,"Violin Sonata in A Major, HWV 361: IV. Allegro",0,1953,0.0499,103.24799999999999,0.794,1953,0
37221,0.10400000000000001,['The Sundays'],0.616,262893,0.562,0,0xfIytYdMN0rFViPcHDPos,0.000655,6,0.0564,-10.434000000000001,0,I Won,28,1990-01-01,0.0268,96.404,0.754,1990,0
132593,0.889,['Gipsy Kings'],0.457,230200,0.369,0,63JOnZasMIJQSCiwqXpsTl,0.0111,4,0.231,-12.515,0,No Volvere,38,1991-06-28,0.0353,80.214,0.868,1991,0
13753,0.00409,['Cibo Matto'],0.708,269760,0.41200000000000003,0,2mQnPuVeoJXwS8p9J4JUIb,0.0241,7,0.196,-10.579,1,Sugar Water,41,1996,0.195,78.097,0.37799999999999995,1996,0
61487,0.20600000000000002,"['A.B. Quintanilla III', 'Kumbia All Starz']",0.7090000000000001,209440,0.649,0,179kBZK7Vil0uCDJDewswz,0.0,3,0.0678,-5.782,0,Insomnio,47,2003-01-01,0.0791,76.007,0.975,2003,0
79890,0.9,['MGM Studio Orchestra'],0.6809999999999999,38027,0.752,0,3tGM3CthqbDoQyqKzGYFJX,0.884,7,0.0763,-14.184000000000001,1,Farmyard - Outtake,23,1939-08-25,0.0535,114.181,0.9279999999999999,1939,0
77680,0.275,['Young Thug'],0.6970000000000001,220707,0.675,1,0jPLBur1qXRfj3pbuJSX03,0.0,7,0.0767,-4.688,1,Killed Before,57,2017-10-20,0.317,158.13299999999995,0.292,2017,0
51870,0.106,['Robert Plant'],0.445,242107,0.887,0,0wAOWZk7n7UGc6LiJmqR2W,0.0583,9,0.0862,-7.077000000000001,0,Pledge Pin - 2006 Remaster,25,1982-06-28,0.147,157.226,0.6459999999999999,1982,0
78801,0.9940000000000001,"['Frédéric Chopin', 'Arthur Rubinstein']",0.33399999999999996,397280,0.0435,0,1JQJisbyySFbJVQtNiUGAH,0.929,9,0.177,-23.385,0,"Chopin: Nocturne No. 12 in G Major, Op. 37 No. 2",10,1928,0.0435,59.178999999999995,0.0637,1928,0
75169,0.007259999999999998,['Richard Mayner'],0.39,165333,0.301,0,6e811bq5QZV8yGdabWotc8,0.015,7,0.0602,-16.951,0,Matrimonio de Amor,44,1992-04-01,0.0311,160.52,0.522,1992,0
132104,0.10800000000000001,['Dazz Band'],0.821,244627,0.812,0,2Ynp5ER7uqvO0AheC3IK2g,0.00079,9,0.0426,-9.701,0,Let It Whip - Single Version,34,1986-01-01,0.0434,132.17700000000002,0.941,1986,0
130949,0.0247,['Aerosmith'],0.35700000000000004,303200,0.617,0,2nrIJJyrGF2J2YqiO8J9lR,0.0157,9,0.654,-11.452,1,Round And Round,37,1975-04-08,0.0364,141.609,0.39799999999999996,1975,0
79796,0.6729999999999999,['Benny Goodman Quartet'],0.644,244427,0.7879999999999999,0,6WezIW7z48q265Lb4fPpIz,0.746,3,0.36200000000000004,-14.612,1,Avalon - Live,10,1938,0.0364,127.238,0.53,1938,0
75196,0.9690000000000001,"['Dmitri Shostakovich', 'Tasmin Little', 'Piers Lane']",0.113,194267,0.0732,0,7c8EKQLv5ld1uWm1BdGqds,0.772,0,0.107,-23.21,1,"Shostakovich: The Gadfly Suite, Op. 97a: VIII. Romance",35,1992,0.0496,174.59900000000005,0.0379,1992,0
131023,0.0101,['Soft Machine'],0.278,559520,0.7440000000000001,0,7J2kYMUtOIzKU9Tpd6YDYX,0.816,10,0.114,-10.128,1,Hazard Profile Part 1,42,1975,0.0676,105.46600000000001,0.496,1975,0
76609,0.706,['Ernest Tubb'],0.677,173093,0.405,0,637H6WFOu2z7neejRnY2kf,0.0,0,0.297,-11.368,1,Drivin' Nails In My Coffin - Single Version,40,2006-06-06,0.0302,112.262,0.706,2006,0
104840,0.45,['The Emotions'],0.764,219933,0.57,0,6UjlpJhUqOQqv0hrb38IDI,0.36200000000000004,0,0.0812,-11.360999999999999,1,Best of My Love,57,1996,0.0348,115.376,0.972,1996,0
50609,0.9670000000000001,['Elton John'],0.486,130827,0.247,0,3x7yQrvmr7xoYrwQ0VNKmu,0.000833,4,0.19,-11.574000000000002,0,I Need You To Turn To - Piano Demo,27,1970-04-10,0.0346,133.873,0.294,1970,0
86788,0.0863,['Rihanna'],0.7070000000000001,238627,0.813,0,2VOomzT6VavJOGBeySqaMc,0.0,11,0.168,-4.515,0,Disturbia,72,2008-06-02,0.0571,124.921,0.722,2008,0
9690,0.977,['Brownie McGhee'],0.532,186227,0.122,0,0rSNTYWc41eWN0FOzrBeGX,7.04e-05,11,0.136,-15.982000000000001,0,Move to Kansas City,5,1955-01-01,0.0696,161.792,0.55,1955,0
88643,0.9940000000000001,"['Francisco Canaro', 'Charlo']",0.318,202000,0.20800000000000002,0,0kll9PYaGJwsR8nz5kZgmu,0.88,9,0.14400000000000002,-14.275,1,Poema de Amor - Remasterizado,0,1929-11-06,0.0566,77.403,0.62,1929,0
133520,0.8140000000000001,['Maria McKee'],0.561,224707,0.365,0,7vOhmiURT3Bv8iFeNxw7Oh,0.0018,8,0.45399999999999996,-10.431,1,"Show Me Heaven - From ""Days Of Thunder""",47,2000-01-01,0.0284,80.428,0.375,2000,0
147196,0.903,"['Edward Elgar', 'Sir John Barbirolli', 'Philharmonia Orchestra']",0.0854,210373,0.177,0,1xc7ToZstSuiFDXCZ0PEFt,0.887,3,0.0921,-18.283,1,"Elgar: Variations on an Original Theme, Op. 36 ""Enigma"": Variation IX. Adagio ""Nimrod""",28,1963-01-01,0.0357,167.24099999999999,0.0511,1963,0
161671,0.35100000000000003,['Эрнест Хемингуэй'],0.6890000000000001,102468,0.32,1,7x4DJltsfBb2jgz6nvzPz0,0.0,0,0.659,-17.137,1,Часть 4.3 & Часть 5.1 - Прощай оружие,0,1929,0.9109999999999999,142.19299999999996,0.55,1929,0
23286,0.631,['Cody Johnson'],0.708,220172,0.426,0,4QbPdzir5WY3Moq2X0UrG9,1.45e-06,2,0.0993,-12.825,1,Talk To Me Right,45,2011-05-03,0.0287,114.493,0.736,2011,0
108557,0.982,['Titi Botez'],0.5379999999999999,184085,0.209,0,0jdzLTp3JPKMa2DIfJ6xVY,0.0016699999999999998,2,0.273,-15.845999999999998,1,Pe micul tău album,0,1939-01-01,0.038,110.569,0.6,1939,0
162499,0.884,['University of North Texas Symphony Orchestra'],0.325,142067,0.45899999999999996,0,4LXESC7TmarQVXWb1iBwjp,0.782,3,0.122,-12.683,1,ศุกร์สัญลักษณ์,0,1946-12-02,0.0387,94.072,0.354,1946,0
28303,0.8340000000000001,['Paco de Lucía'],0.45,362093,0.6409999999999999,0,2tzcA6IYx1pnboBuI3enoE,0.877,4,0.0859,-14.7,0,Entre Dos Aguas - Instrumental,28,1981-01-01,0.0351,102.897,0.9159999999999999,1981,0
139576,0.406,['Steely Dan'],0.604,418293,0.626,0,5SS0LwKR6X2HHjC0yHUvbB,0.0401,7,0.0739,-13.004000000000001,0,Your Gold Teeth,36,1973-01-01,0.0348,139.441,0.873,1973,0
86267,0.0444,['50 Cent'],0.7,249467,0.758,1,2D1hlMwWWXpkc3CZJ5U351,1.3000000000000001e-05,10,0.0401,-3.012,0,P.I.M.P.,66,2003-02-06,0.342,78.693,0.889,2003,0
47436,0.541,"['Beyoncé', 'Blue Ivy']",0.45899999999999996,266920,0.435,0,2LjkT4gu5wO4JdeEYl0fMY,6.51e-05,1,0.11900000000000001,-10.139,1,Blue (feat. Blue Ivy),53,2014-11-24,0.064,90.56700000000001,0.0631,2014,0
136168,0.982,"['Francisco Canaro', 'Roberto Maida']",0.7020000000000001,189373,0.57,0,4TVv4JuijpvC646lPZDOtu,0.155,4,0.384,-5.704,1,Jardinerita de Triana - Remasterizado,0,1936-01-10,0.0364,127.781,0.961,1936,0
81538,0.903,['Gwen Verdon'],0.53,194573,0.23600000000000002,0,7mqiqyz0dddDRerw6981wB,9.7e-05,9,0.0641,-14.875,0,Whatever Lola Wants,23,1955,0.0684,147.084,0.348,1955,0
120158,0.894,['Marty Robbins'],0.589,106107,0.22,0,34AgRDRpCjON2r0VUGR9jq,0.00133,9,0.107,-14.993,0,My Love,20,1960-07-18,0.0336,87.475,0.345,1960,0
62479,0.0234,"['Brandon Mychal Smith', 'Tyler James Williams']",0.706,195707,0.772,0,0CTZQno7SjUG4Qb0736anc,0.0,7,0.63,-6.268,1,Moment Of Truth,44,2012-06-12,0.3,113.139,0.741,2012,0
116453,0.0733,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper']",0.552,260000,0.76,1,5WvAo7DNuPRmk4APhdPzi8,0.0,0,0.0865,-4.706,1,No Brainer,74,2018-07-27,0.342,135.702,0.639,2018,0
